0077766,'The small island resort town of Amity is trying to bounce back from the financial troubles that suffered after becoming known as the site of shark attacks four years earlier. Mayor Larry Vaughn is welcoming developer Len Peterson and his new resort to Amity. Two scuba divers are exploring the area where the Orca sank after police chief Martin Brody killed a huge shark four years ago. A shark shows up and devoured the two divers, but not before one of the divers takes a close-up picture of the shark's eye, and sometime later, while a mother is driving a boat that's pulling her water-skiing teenage daughter, the shark devours the daughter and causes the mother to accidentally blow up the boat, then a killer whale is found on the shore with a huge bites on it. After Brody sees this, he knows there's another huge great white shark in Amity's waters, but Vaughn and Peterson explain these attacks away as non-shark accidents, because the thought of another shark in Amity's waters would drive tourists away from the new resort and cause the new resort to lose money. It looks like Vaughn is still a mayor who puts money ahead of people's lives. Brody tips his gun's hollow point bullets with cyanide and melted candle wax and tells his sons Michael and Sean to stay away from the beaches and told them to not go sailing with Mike's friends, who include Vaughn's son Larry Vaughn Jr. Everyone thinks Brody's fears are shark trauma-induced paranoia. Brody even tries to call his friend Matt Hooper, who is doing research on a boat in the Antarctic Circle, and Matt will be in the Antarctic Circle for a few more months. While keeping an eye on the waters from the beach's shark tower, Brody sees a huge dark spot in the water and rings the tower's alarm bell, but it turns out to be a school of bluefish. Vaughn fires Brody for causing this panic at the beach and scaring tourists and their money away, and even though they were told not to, Michael and Sean go out sailing with Junior Vaughn and their friends, unaware that the shark is trailing them. Brody knows it's up to him to find them before its too late.              ',
0128442,'A young man is a reformed gambler who must return to playing big stakes poker to help a friend pay off loan sharks.        ',
0074285,'It's nearing the end of the school year. High school senior Carrie White is a social outcast, largely due to being unwise to the ways of the world based on her upbringing. Her mother, Margaret White, is a religious fanatic, her extreme views primarily targeted against sex, which she believes is a sin. She even believes natural associated processes such as menstruation are a sin, about which she has refused to mention to Carrie. Mrs. White's beliefs were taken to that extreme largely because of her own failed marriage and her husband Ralph long ago having run off with another woman. The only adult authority figure who tries to help Carrie with her life is her phys ed teacher, Miss Collins, who is nonetheless warned not to get too close to go against how Mrs. White chooses to raise Carrie, Mrs. White whose beliefs are well known in the community. An impromptu event that happens among Carrie's phys ed classmates against her leads to her classmates being punished. One of those students, self absorbed Chris Hargensen, vows revenge against Carrie for that punishment, the method of the revenge associated to the phys ed class incident. Another student however, the popular Sue Snell, begins to feel sorry for Carrie. In wanting to help her get out of her shell, Sue asks her boyfriend, the equally popular Tommy Ross, to take Carrie to the senior prom instead of her. This move does not sit well with Mrs. White, who in her extreme view believes Carrie will fall prey to sin. All these competing issues lead to Carrie deciding on an impulse to use a newfound skill to free herself from the figurative chains that have long been placed around her, with tragic consequences.              ',
2180001,'America's premier sketch-comedy show returns for its 37th season LIVE from Studio 8H in New York City. This season, the cast includes Fred Armisen, Abby Elliott, Bill Hader, Seth Meyers, Bobby Moynihan, Nasim Pedrad, Andy Samberg, Jason Sudeikis, Kenan Thompson, Kristen Wiig, featuring Vanessa Bayer, Paul Brittain, Taran Killam, and Jay Pharoah. Check out these selected sketches and segments from each of this season's episodes, so you can make every night a Saturday Night.              ',
3638726,'',
3561828,'The Black Soulstone essence is screaming for vengeance and release. Before the artifact can be sealed away forever, Malthael, the Angel of Death manifests in the mortal realms with a deadly new purpose. And so begins the end of all things.        ',
4412420,'Ben and Riley are attacked by a mugger and Danny saves the day, but needs to stay anonymous. Tucker thinks the story is perfect to save his job at Mary Hart's show.        ',
1498709,'Three days in a man's life, three crucial days in his long existence. Day one. Autumn 1948, Port Said. It is Hassan's first day at work but a telegram arrives and he has to set sail across the Atlantic. On the ship he meets the beautiful Nura: It is love at first sight for them both and it will be consummated that very day, also because of the arrival of the man Nura has already promised to marry. Day two. Autumn 1973. Alexandria of Egypt. Hassan is in the city to meet Nadia, Nura's daughter, at the deathbed of her twin brother. From what the children say, Hassan is led to believe he is Nadia's father. Day three. Autumn 2001, Cairo. Hassan is in the city to meet Alì, Nadia's son. They begin seeing one another and Hassan observes numerous similarities with the boy...              ',
0087147,'A wealthy businessman and the owner of a rundown pub share one thing in common - they look like identical twins! When the businessman hears of a plot against him, he hires the pub owner as a decoy. However, the pub owner is accident prone and causes more trouble than he is worth. An action-packed, physical comedy.              ',
0067815,'An old man is recollecting all the women he met in his youth. An old woman wants them to commit suicide together but changes her mind. The little town has a doctor whose wife can not forget the old man, and the waiter who serves him his dinner doesn't know that Sinbad will soon court her.              ',
