92,"0058265;""Kiss Me, Stupid (1964)"";http://www.imdb.com/title/tt0058265/plotsummary"
93,"0067458;""Murphy's War (1971)"";http://www.imdb.com/title/tt0067458/plotsummary"
94,"0434409;""V for Vendetta (2005)"";http://www.imdb.com/title/tt0434409/plotsummary"
95,"2768348;""&quot;Cyndi Lauper: Still So Unusual&quot; Ms. Lauper Goes to Washington (TV Episode 2013)"";http://www.imdb.com/title/tt2768348/plotsummary"
96,"0443604;""Paradise, Texas (2005)"";http://www.imdb.com/title/tt0443604/plotsummary"
97,"0056193;""Lolita (1962)"";http://www.imdb.com/title/tt0056193/plotsummary"
98,"0068646;""The Godfather (1972)"";http://www.imdb.com/title/tt0068646/plotsummary"
99,"0055031;""Judgment at Nuremberg (1961)"";http://www.imdb.com/title/tt0055031/plotsummary"
100,"0236216;""The Filth and the Fury (2000)"";http://www.imdb.com/title/tt0236216/plotsummary"
101,"1130884;""Shutter Island (2010)"";http://www.imdb.com/title/tt1130884/plotsummary"
102,"0169547;""American Beauty (1999)"";http://www.imdb.com/title/tt0169547/plotsummary"
103,"0057357;""El Naser Salah el Dine (1963)"";http://www.imdb.com/title/tt0057357/plotsummary"
104,"0103760;""Baduk (1992)"";http://www.imdb.com/title/tt0103760/plotsummary"
105,"0363163;""Downfall (2004)"";http://www.imdb.com/title/tt0363163/plotsummary"
106,"0116851;""Leila (1997)"";http://www.imdb.com/title/tt0116851/plotsummary"
107,"0040979;""Drunken Angel (1948)"";http://www.imdb.com/title/tt0040979/plotsummary"
108,"0424434;""Beautiful City (2004)"";http://www.imdb.com/title/tt0424434/plotsummary"
109,"1621800;""How to Train Your Dragon (Video Game 2010)"";http://www.imdb.com/title/tt1621800/plotsummary"
110,"0061747;""Hang 'Em High (1968)"";http://www.imdb.com/title/tt0061747/plotsummary"
111,"1228816;""&quot;Greek&quot; No Campus for Old Rules (TV Episode 2008)"";http://www.imdb.com/title/tt1228816/plotsummary"
112,"1937149;""The Body (2012)"";http://www.imdb.com/title/tt1937149/plotsummary"
113,"0090728;""Big Trouble in Little China (1986)"";http://www.imdb.com/title/tt0090728/plotsummary"
114,"0177858;""In July (2000)"";http://www.imdb.com/title/tt0177858/plotsummary"
115,"2063241;""Farouk Omar (TV Series 2012– )"";http://www.imdb.com/title/tt2063241/plotsummary"
116,"1541775;""The 82nd Annual Academy Awards (2010)"";http://www.imdb.com/title/tt1541775/plotsummary"
117,"0118799;""Life Is Beautiful (1997)"";http://www.imdb.com/title/tt0118799/plotsummary"
118,"0291337;""Max Payne (Video Game 2001)"";http://www.imdb.com/title/tt0291337/plotsummary"
119,"0033467;""Citizen Kane (1941)"";http://www.imdb.com/title/tt0033467/plotsummary"
120,"0056869;""The Birds (1963)"";http://www.imdb.com/title/tt0056869/plotsummary"
121,"3803820;""Pri Para (TV Series 2014– )"";http://www.imdb.com/title/tt3803820/plotsummary"
122,"0081505;""The Shining (1980)"";http://www.imdb.com/title/tt0081505/plotsummary"
123,"0048728;""To Catch a Thief (1955)"";http://www.imdb.com/title/tt0048728/plotsummary"
124,"0997246;""The Song of Sparrows (2008)"";http://www.imdb.com/title/tt0997246/plotsummary"
125,"2645000;""A Life in Dirty Movies (2013)"";http://www.imdb.com/title/tt2645000/plotsummary"
126,"0053291;""Some Like It Hot (1959)"";http://www.imdb.com/title/tt0053291/plotsummary"
127,"1833673;""Dhoom:3 (2013)"";http://www.imdb.com/title/tt1833673/plotsummary"
128,"0044081;""A Streetcar Named Desire (1951)"";http://www.imdb.com/title/tt0044081/plotsummary"
129,"0007145;""One A.M. (1916)"";http://www.imdb.com/title/tt0007145/plotsummary"
130,"0075148;""Rocky (1976)"";http://www.imdb.com/title/tt0075148/plotsummary"
131,"0102005;""Harley Davidson and the Marlboro Man (1991)"";http://www.imdb.com/title/tt0102005/plotsummary"
132,"0469494;""There Will Be Blood (2007)"";http://www.imdb.com/title/tt0469494/plotsummary"
133,"0066989;""Two English Girls (1971)"";http://www.imdb.com/title/tt0066989/plotsummary"
134,"2126154;""This Is England '88 (TV Mini-Series 2011)"";http://www.imdb.com/title/tt2126154/plotsummary"
135,"0252361;""Davaro: Son Eskiya (1981)"";http://www.imdb.com/title/tt0252361/plotsummary"
136,"1924396;""The Best Offer (2013)"";http://www.imdb.com/title/tt1924396/plotsummary"
137,"0072890;""Dog Day Afternoon (1975)"";http://www.imdb.com/title/tt0072890/plotsummary"
138,"0449467;""Babel (2006)"";http://www.imdb.com/title/tt0449467/plotsummary"
139,"2709670;""&quot;The Tonight Show with Jay Leno&quot; Episode #21.101 (TV Episode 2013)"";http://www.imdb.com/title/tt2709670/plotsummary"
140,"0077711;""Autumn Sonata (1978)"";http://www.imdb.com/title/tt0077711/plotsummary"
141,"0066206;""Patton (1970)"";http://www.imdb.com/title/tt0066206/plotsummary"
